"","Name","OverallRank","Seattle","NYC","UniqueToSeattle","UniqueToNYC"
"2372","Bing",2372,1838,3737,TRUE,FALSE
"2373","Bingley",2373,1839,3738,TRUE,FALSE
"2374","Binky",2374,4322,1676,FALSE,TRUE
"2375","Birch",2375,1457,NA,TRUE,FALSE
"2376","Bisquit",2376,1842,3752,TRUE,FALSE
"2377","Bix",2377,1844,3756,TRUE,FALSE
"2378","Bleecker",2378,NA,1333,FALSE,TRUE
"2379","Bloom",2379,4370,1680,FALSE,TRUE
"2380","Bocce",2380,2483,2251,FALSE,FALSE
"2381","Bombay",2381,1851,3809,TRUE,FALSE
"2382","Bowen",2382,1463,NA,TRUE,FALSE
"2383","Brad",2383,1856,3845,TRUE,FALSE
"2384","Bridger",2384,1464,NA,TRUE,FALSE
"2385","Broadway",2385,4551,1691,FALSE,TRUE
"2386","Bronco",2386,1465,NA,TRUE,FALSE
"2387","Bronson",2387,4562,1692,FALSE,TRUE
"2388","Brooke",2388,4565,1693,FALSE,TRUE
"2389","Bubby",2389,4586,1696,FALSE,TRUE
"2390","Bumper",2390,1865,3925,TRUE,FALSE
"2391","Butterball",2391,1867,3946,TRUE,FALSE
"2392","Cairo",2392,NA,1349,FALSE,TRUE
"2393","Cannon",2393,NA,1352,FALSE,TRUE
"2394","Caper",2394,1874,4000,TRUE,FALSE
"2395","Capri",2395,4721,1703,FALSE,TRUE
"2396","Carla",2396,NA,1353,FALSE,TRUE
"2397","Carlito",2397,1877,4020,TRUE,FALSE
"2398","Carmel",2398,2538,2306,FALSE,FALSE
"2399","Carmella",2399,1473,NA,TRUE,FALSE
"2400","Carmine",2400,4756,1707,FALSE,TRUE
"2401","Carrie",2401,4763,1709,FALSE,TRUE
"2402","Carson",2402,4764,1710,FALSE,TRUE
"2403","Cascade",2403,1476,NA,TRUE,FALSE
"2404","Cassius",2404,1882,4046,TRUE,FALSE
"2405","Cava",2405,1884,4060,TRUE,FALSE
"2406","Cecilia",2406,4805,1715,FALSE,TRUE
"2407","Celine",2407,4814,1718,FALSE,TRUE
"2408","Champagne",2408,4843,1720,FALSE,TRUE
"2409","Che",2409,1889,4133,TRUE,FALSE
"2410","Checkers",2410,1483,NA,TRUE,FALSE
"2411","Cheech",2411,4907,1724,FALSE,TRUE
"2412","Chef",2412,4915,1725,FALSE,TRUE
"2413","Chibi",2413,1892,4155,TRUE,FALSE
"2414","Chicha",2414,4957,1729,FALSE,TRUE
"2415","Chiquis",2415,4982,1733,FALSE,TRUE
"2416","Chrissy",2416,1896,4221,TRUE,FALSE
"2417","Chucky",2417,NA,1362,FALSE,TRUE
"2418","Cisco",2418,1487,NA,TRUE,FALSE
"2419","Clarence",2419,1897,4266,TRUE,FALSE
"2420","Clive",2420,1899,4281,TRUE,FALSE
"2421","Cloudy",2421,1490,NA,TRUE,FALSE
"2422","Clove",2422,1900,4287,TRUE,FALSE
"2423","Conner",2423,5164,1748,FALSE,TRUE
"2424","Connie",2424,NA,1366,FALSE,TRUE
"2425","Coquito",2425,NA,1367,FALSE,TRUE
